"A ";"Alpha – În Codul International de Semnale (International Code of Signals) are semnificația: Am scafandru la apă; mențineți-vă la distanță si cu viteza redusă."
"A.";"Dacă litera A precede o temperatură, aceasta înseamnă că temperatura respectivă a fost măsurată de la zero absolut, exprimându-se în grade Celsius (Centigrades)"
"A.I.";"A1 – Simbol folosit de societățile de clasificare prin care se descrie o navă bine construită și echipată în mod eficient. Litera (în acest caz  „A”) se referă la construcție iar cifra romană („I”) denotă echiparea. La navele construite din fier sau oțel, simbolul este precedat de un număr care nu depășește 100; la unele nave dedicate unor tipuri speciale de comerț aceast număr poate să nu existe. Ca regulă generală, acest număr descrie procentajul de perfecțiune al construcției unei nave.    "
"a/a";"Always afloat. În permanentă stare de plutire."
"AB (able seaman)";"Marinar calificat, timonier. Cunoscut și ca Able Bodied Seaman"
"Abaca";"Cânepă de Manila. Plantă originară din Filipine, din familia bananului și din care se face cânepa de Manila (Manilla hemp)."
"Aback";"Înapoi, în urmă. Expresie folosită la veliere pentru a descrie situația în care vântul este din fața velei. "
"Abaft";"La sau către extremitatea din spate a navei."
"Abandonment";"Abandon. Acțiunea de renunțare la o navă asigurată și la toate dreptu-rile de proprietate. Acțiunea se face de către armator în cazul în care nava ajunge o pierdere constructivă totală (în general mai mult de 80%) în scopul recuperării/primirii asigurării de la societatea de asigurare."
"Abandonment of voyage";"Abandonarea unui voiaj. Acțiunea de renunțare la efectuarea unui voiaj intenționat. Renunțarea poate fi intenționată sau prin forța împrejurărilor."
"Abandon ship";"Abandonarea navei. Părăsirea navei de către echipaj, atunci când se consideră că nu mai pot fi intreprinse alte acțiuni pentru salvarea (păstrarea) acesteia. Acțiunea este făcută de regulă în mod voluntar și doar în ultimă instanță, la ordinul expres al comandantului navei"
"Abeam";"Travers. Situat pe o linie în plan orizontal ce formeaza unghi drept cu axul longitudinal al navei"
"Aberration";"Aberație. În astronomie reprezintă diferența dintre poziția reală și pozi-ția aparentă a unui corp ceresc, cauzată de mișcarea Pământului în spațiu. În meteorologie aberația reprezintă diferența dintre direcția vântului adevărat și direcția vântului aparent, diferență cauzată de mișcarea navei, atunci când este înclinată în direcția vântului. În optică reprezintă deviația razei de lumină de la punctul de focalizare adevărat. "
"Abnormal refraction";"Refracție anormală. Deplasarea orizontului vizibil și a obiectelor observate cu o cantitate neobișnuită. Astfel obiectele aflate sub orizont pot apărea deasupra orizontului."
"Aboard";"La bord. În interiorul unei nave"
"Abordage";"Abordaj. Termen preluat din limba Franceză. Apropierea unei nave de altă navă, bordaj la bordaj, în scopul atacării celei din urmă și de jefuire și/sau luare de prizonieri sau de preluare a navei."
"About ship";"Volta în vânt.                                                                          1.Schimbarea murelor trecând cu prova prin vânt. Manevră de schimabre a direcției de marș la navele cu pânze.                     2.Ordin către echipajul unui velier de a merge la posturi pentru a face manevra de volta în vânt "
"Abreast";"La travers. Cuvânt folosit pentru a descrie situația în care un reper sau o altă navă se află în dreptul navei proprii, într-o poziție perpendiculară pe axa navei. "
"Abroad";"Ridicat, arborat. În context maritim se folosește pentru a descrie că un pavilion este ridicat (arborat)."
"ABS";"American Bureau of Shipping. Societate de clasificare americană."
"Absence without leave";"Absent fără permisie/permisiune. Termen ce descrie situația unui marinar plecat de la navă fără a avea permisiunea dar fără a avea intenția de a dezerta. Termenul se folosește în marina militară și se poate întâlni mai des sub forma prescurtată a.w.o.l."
"Absentee";"Absent. Navigator care nu se întoarce la navă la fie pentru a-și prelua serviciul fie la încheierea învoirii (permisiunii de a merge la uscat) dar fără a avea intenția să dezerteze. "
"Absolute force";"Forța absolută. În magnetism reprezintă intensitatea câmpului magne-tic al Pământului sau intensitatea forței de atracție a unui magnet și se exprimă în [dynes]."
"Absolute humidity";"Umiditatea absolută. Reprezintă greutatea apei conținută într-un volum de aer atmosferic. Unitatea de măsură uzuală este [gram/m3]."
"Absolute pressure";"Presiunea absolută. Reprezintă presiunea unui fluid măsurată în vacuum perfect. În ingineria practică se consideră ca fiind presiunea aburului plus 15 lbs (pounds – pfunzi). Presiunea absolută a unui condensor se calculează (în inci barometrici) ca jumătate din înălțimea barometrică minus citirea în vacuum"
"Absolute temperature";"Scala fundamentală a temperaturii la care zero este zero absolut. Se exprimă în grade KELVIN sau grade RANKINE. Un grad Kelvin este egal cu un grad Celsius iar un grad Rankine este egal cu un grad Fahrenheit. Relaţii de transformare:
Scala Kelvin: Tabs=273 + t (oC);  0oC=273oK
Scala Rankine: Tabs=460 + t (oF);  0oF=460oR
De obicei se măsoară în grade Celsius. "
"Absolute total loss";"Pierdere totală absolută. Distrugerea completă sau îndepărtarea unei nave sau a bunurilor din mâinile proprietarului sau o astfel de schimba-re în caracteristicile acestora (nava și/sau bunuri) încât încetează să mai fie ceea ce erau. Termenul este folosit de asemenea în momentul în care se face evaluarea pierderilor suferite de o navă, pierderea absolută incluzând pierderea și a navlului pe care îl câștiga nava."
"Absorption coefficient";"Coeficient de absorbție. Cantitatea de radiație absoebită de o suprafață dată exprimată ca procentaj din radiația la care a fost expusă suprafața respectivă."
"Absorptive power";"Puterea de absorbție. Rata cu care energia radiantă este absorbită la suprafața unui corp. Aceasta variază cu temperatura și cu lungimea de undă a energiei"
"A-Burton";"Sistem de stivuire a bidoanelor, butoaielor etc astfel încât să fie așeza-te pe lungime de-a latul navei (atwarthships)."
"Abt. (About)";"Aproximativ/cam/circa. De exemplu un mesaj conținând o ofertă de navlosire poate descrie o nava ca având abt. 25,000 tonnes DWCC (deadweight cargo carrying capacity)"
"Abyss";"Abis. Volumul de ocean planetar situat sub adâncimea de 500-550 m."
"Abyssal";"Abisal. Care aparține de abis."
"A/c";"Account. Abreviere folosită fie pentru un cont bancar fie pentru a determina (in cadrul unui contract) în contul/sarcina căreia din părți revine o anumită atribuțiune/cheltuială (De exemplu: Shifting to a second berth is on charterer’s a/c – manevra la o a doua dană este în contul navlositorului)"
"Acalephae";"Clasă de creaturi marine care atunci când sunt atinse “înțeapă”. Me-duzele fac parte din această categorie."
"Acceleration";"Accelerație. Reprezintă o creștere în ritmul unei mișcări. În astronomie reprezintă “câștigul”(gaining) unui corp ceresc asupra altuia fie datorită unei viteze superioare fie datorită unei diferențe în direcție sau datorită amândoura."
"Acceleration of fixed stars";"Accelerația stelelor fixe. Apariția progresiv mai devreme a tranzitului stelelor fixe în comparație cu tranzitul Soarelui. Datorită mișcării aparente spre Est a Soarelui pe eliptică, stelele tranzitează oricare meridian cu aproximativ 4 minute mai devreme în fiecare zi (având ca bază timpul solar)."
"Acceleration of planetary motion";"Accelerația mișcării planetare. Creșterea vitezei unghiulare a unei planete atunci când se deplasează de la afeliu (aphelion) la periheliu (perihelion), conform Legii a doua a lui Kepler."
"Acceleration of Sidereal time";"Accelerația timpului sideral. Cantitatea de timp sideral câștigată de către un ceas sideral în orice interval de timp solar mediu."
"Acceleration of wind";"Accelerația vântului. Creșterea aparentă în forță a vântului datorată apropierii navei (direcției în care merge nava) de direcția din care bate vântul."
"Acceleration tables";"Table de accelerație. Table în care este dată creșterea ce se aplică unui timp mediu pentru a afla valoarea timpului sideral."
"Acceptance";"Acceptare. Semnarea unui document prin care se certifică faptul că persoana care l-a semnat a citit documentul și este gata să îndeplinească cerințele conținute de acel document."
"Accept except";"Acceptare cu excepții.Termen folosit pe durata negocierilor de navlosire, fie de brokerul armatorului sau de către agentul posibilului navlositor, semnificând că o ofertă sau contraofertă este acceptată în afara unor anumite clauze sau detalii. Acestea se listează impreuna cu amendamentele agreate."
"Accident boat";"Barcă în caz de accident. Barcă ce este ținută pregătită pentru lansare în orice moment în cazul unui accident, a unei urgențe."
"Accident report";"Raport de accident. Declarație făcută de către comandantul unei nave în cazul în care nava a fost avariată sau în cazul unei răniri serioase la bord cauzată prin accidentare."
"Accomodation";"Castelul navei. “Accommodation” definește/cuprinde spațiile de locuit pentru echipaj, incluzând băile, spațiile de recreere și cele de servire a mesei. Spațiile de locuit și dotările minime trebuie să corespundă cerințelor regulilor stabilite de Organizația Internațională a Muncii, exceptând locurile unde există cerințe legislative locale (care de regulă sunt mai stringente). În cazul în care în urma verificării rezultă că spațiile de locuit sunt corespunzătoare, Registrul de care aparține nava eliberează un certificat numit “Certificate of Compliance for Crew Accommodation” (Certificat de Conformitate pentru Spațiile de locuit ale echipajului). "
"Accommodation ladder";"Scara de acces la navă. Scară, de regulă din aluminiu, dotată cu balustrăzi și care asigură accesul de la uscat la navă și invers. Treptele sunt de obicei cu striații pentru a preveni alunecarea. În unele locuri și atunci când bordul liber este mai mic, se poate folosi și pentru urcarea pilotului sau a diverselor autorități, la cererea expresă a acestora și doar în cazul în care condițiile de vreme permit."
"Accomplish a B/L (to)";"A finaliza/a duce la îndeplinire un conosament.Prezentarea/înmânarea conosamentului către cărăuș (nava transportoare) la portul de descărcare în schimbul bunurilor transportate în baza acelui conosament. În cazul în care au fost emise mai multe conosamente originale (de regulă sunt trei – primul, al doilea și al treilea original), prezentarea unuia dintre conosamentele originale este suficientă, celelalte originale devenind ne-negociabile sau nule."
"Accomplished B/L";"Conosament finalizat. Conosament original care a fost prezentat cărăușului (navei  care a transportat) la portul de descărcare in schimbul bunurilor transportate sub acel conosament."
"Accumulated rate";"Marșa diurnă acumulată. Marșa diurnă a unui cronometru multiplicată cu numărul de zile de  când s-a făcut ultima comparație cu un semnal orar standard."
"Accumulator";"Acumulator. Baterie de mare capacitate folosită la stocarea curentului electric."
"Accumulator capacity";"Capacitatea acumulatorului. Capacitatea de stocare a unui acumulator, exprimată de regulă în Amperi-oră."
"Achromatic lens";"Lentile acromatice. Două sau mai multe lentile folosite în combinație pentru a corecta aberația cromatică prezentă la lentilele singulare."
"Acidity of boiler water";"Aciditatea apei de la caldarină. Aceasta este rezultatul impurităților aflate în apă. Se determină prin folosirea hârtiei de turnesol (litmus paper) sau a hârtiei indicatoare cu metiloranj (methyl orange) "
"Acid tanker";"Navă tanc destinată transportului de acizi . Acest tip de navă are tancurile din oțel inox sau tratate cu vopsele speciale care să împiedice perforarea lor de către acizii transportați. Nava trebuie să fie dotată cu o serie de elemente de siguranță cum ar fi ventilație corespunzătoare în așa fel încât să nu fie afectată sănătatea echipajului, echipament special de intervenție în caz de urgență pentru protejarea la contact și pentru respirație"
"Aclinic line";"Aclină. Reprezintă ecuatorul magnetic, fiind definită ca linia ce unește toate punctele de pe suprafața terestră unde nu există înclinație magnetică "
"Acquitance";"Eliberare din funcție. Eliberarea de atribuțiuni, răspunderi, îndatoriri, făcută în mod formal, în formă scrisă. Poate avea și înțelesul de concediere. "
"Act of God";"Forță majoră.Eveniment/fapt ce are ca rezultat o pierdere și care s-a petrecut fără posibilitatea de a fi controlat de elementul uman. Astfel de evenimente pot fi furtuna severă sau trăznetul. În general contractele de transport conțin o clauză prin care cărăușul este exonerat de răspundere în cazul unor astfel de pierderi. Nu se consideră Act of God în cazul în care evenimentul ar fi putut fi prevăzut și/sau în mod rezonabil evitat"
"Actinometer";"Actinometru. Instrument folosit pentru măsurarea intensității razelor solare (sau actinice)"
"Actinozoar";"Actinozoar. Clasă de creaturi marine care include meduzele, anemo-nele de mare și polipii coralieri."
"Action stations";"Posturi de luptă. Pozițiile ocupate de către personalul unei nave militare atunci când pericolul unei angajări în luptă este iminent. "
"Active bond";"Obligațiune activă. Este un angajament scris la care plata dobânzii începe imediat de la emitere"
"Actual total loss";"Pierdere totală efectivă. Reprezintă pierederea totală absolută"
"Ad val.";"Ad valorem. La valoarea"
"Ad valorem freight";"Navlu calculat la valoarea bunurilor, exprimat ca procentaj din valoarea acestora."
"Addcomm.";"vezi Address comission."
"Addendum";"Clauză sau set de clauze atașate unui contract de navlosire și facând parte integrantă din acesta"
"Adiabatic";"Adiabatic. Termen ce se referă la schimbările de temperatură, presiune sau volum ce apar fără a exista vre-o variație de temperatură."
"Adie barometer";"Barometru Adie. Nume folosit în trecut pentru barometrul “Kew Pattern”."
"Adiabatic lapse rate";"Rata scăderii (pierderii) adiabatice. Rata scăderii temperaturii atmosferei cu 540F pentru fiecare 1000 picioare pe înălțime (0-980C pentru 100 m). Se datorează expansiunii atmosferice cauzate de reducerea presiunii."
"Additional demurrage";"Contrastalii suplimentare. Sumă de bani plătibilă armatorului de către navlositor, expeditor sau primitor după caz, atunci cand unul din cei menționați nu poate termina încărcarea sau descărcarea în interiorul perioadei de contrastalii"
"Additional freight";"Navlu suplimentar. Suprataxă, conform contractului de navlosire, impusă de către armator expeditorului, primitorului sau deținătorului de conosament după caz,  pentru cheltuieli adiționale apărute la descărcarea mărfii. Această suprataxă se aplică în general atunci când portul de descărcare stipulat în contract este inaccesibil sau când descărcarea în respectivul port ar avea drept consecință întârzierea nejustificată a navei. In astfel de circumstanțe armatorul are opțiunea (conform contractului de transport) să procedeze către alt port și să descarce marfa chiar dacă pentru acest lucru apar extracosturi."
"Address commission";"Comision plătibil navlositorului de către armator, exprimat ca procentaj din navlu sau chirie. Valoarea acestui comision este de regulă 2%.  Deși  navlositorii au introdus acest comision (cu sopul evident de a reduce din valoarea navlului), este în puterea armatorului să îl accepte sau nu."
"Addressee";"Adresant.  Conform  Codului Internațional de Semnale (International Code of Signals) reprezintă autoritatea căreia îi este adresat un semnal sau un mesaj."
"Adjustment";"Ajustare. Calcularea de către un ajustor (evaluator) a pierderilor rezultate dintr-o avarie.  In cazul avariei comune, ajustarea stabiliește contribuțiile fiecărei părți implicate în expediția maritimă."
"Adjustment of average";"Soluționarea avarie comune. Vezi “Average adjustment”."
"Adjustment of instruments";"Ajustarea/calibrarea instrumentelor. Corectarea poziției părților ajustabile ale unui instrument sau re-aducerea acestora la poziția inițială în cazul în care au fost deplasate printr-o acțiune fizică (in)voluntară. "
"Adjustment of magnetic compass";"Ajustarea compasului magnetic. Denumire alternativă și mai puțin folosită pentru compensarea compasului magnetic."
"Adjustment of sextant";"Ajustarea/corectarea sextantului. Cuprinde reglarea indexului și a orizontului oglinzilor astfel încât să fie perpendiculare pe planul arcului de cerc, reglarea paralelismului oglinzilor când indexul este la zero și reglarea liniei colimatorului paralel cu planul arcului de cerc."
"Admiral";"Amiral. Ofițer al marinei militare ce poate avea comanda unei flotile. În epoca elizabetană, “admiral” era folosit pentru nava unde fusese născut un ofițer lider al unui grup de nave. La navele de pescuit din Regatul Unit, “admiral” se folosește în sens peiorativ pentru decanul de vârstă și conducătorul (skipper) unui grup de “drifters” (rătăciți, pierde-vară, terchea-berchea, în general persoane cărora nu le place munca)."
"Admiral of the fleet";"Amiralul flotei. Cel mai înalt grad în cadrul marinei militare."
"Admirality";"Amiralitate. Poate avea mai multe sensuri, astfel:                  1.Instituța ce controlează mările                                        2.Comitetul director al Amiralității                                               3.Clădirile în care sunt situate birourile Comitetului director al Amiralității"
"Admirality charts";"Hărțile Amiralității. Hărți produse și emise de către Departamenul Hi-drografic al Amiralității Britanice."
"Admirality ceofficients";"Coeficienții Amiralității. Valori calculate pe baza valorii deplasamentului, a puterii mașinii și a consumului de combustibil pentru a determina eficiența formei corpului navei."
